Year,Team,DRtg
2019,Los Angeles Clippers*,111.5
2019,Orlando Magic*,108.1
2019,Brooklyn Nets*,109.7
2019,Detroit Pistons*,109.2
2019,Miami Heat,107.6
2019,Sacramento Kings,111.5
2019,Charlotte Hornets,112.5
2019,New Orleans Pelicans,112.6
2019,Dallas Mavericks,110.7
2019,Minnesota Timberwolves,112.9
2019,Los Angeles Lakers,109.5
2019,Memphis Grizzlies,108.8
2019,Washington Wizards,113.9
2019,Atlanta Hawks,113.9
2019,Chicago Bulls,113.2
2019,New York Knicks,113.7
2019,Phoenix Suns,115.1
2019,Cleveland Cavaliers,117.6
2019,League Average,110.4
2020,Milwaukee Bucks*,102.9
2020,Boston Celtics*,107.0
2020,Los Angeles Clippers*,107.6
2020,Toronto Raptors*,105.0
2020,Los Angeles Lakers*,106.3
2020,Dallas Mavericks*,111.7
2020,Miami Heat*,109.5
2020,Houston Rockets*,110.1
2020,Utah Jazz*,109.9
2020,Philadelphia 76ers*,109.0
2020,Denver Nuggets*,111.0
2020,Indiana Pacers*,108.0
2020,Oklahoma City Thunder*,108.8
2020,Phoenix Suns,111.4
2020,Brooklyn Nets*,109.5
2020,Orlando Magic*,109.5
2020,San Antonio Spurs,113.5
2020,Memphis Grizzlies,110.3
2020,Portland Trail Blazers*,114.8
2020,New Orleans Pelicans,111.9
2020,Sacramento Kings,112.2
2020,Chicago Bulls,109.8
2020,Detroit Pistons,112.7
2020,Minnesota Timberwolves,112.2
2020,Washington Wizards,115.5
2020,New York Knicks,113.0
2020,Charlotte Hornets,113.3
2020,Atlanta Hawks,114.8
2020,Cleveland Cavaliers,115.4
2020,Golden State Warriors,113.8
2020,League Average,110.6
2021,Utah Jazz*,108.3
2021,Los Angeles Clippers*,111.2
2021,Phoenix Suns*,111.3
2021,Milwaukee Bucks*,111.4
2021,Philadelphia 76ers*,107.6
2021,Denver Nuggets*,112.1
2021,Brooklyn Nets*,113.8
2021,Los Angeles Lakers*,107.1
2021,Dallas Mavericks*,113.0
2021,New York Knicks*,108.2
2021,Atlanta Hawks*,113.3
2021,Portland Trail Blazers*,116.0
2021,Boston Celtics*,112.5
2021,Golden State Warriors,110.1
2021,Memphis Grizzlies*,111.0
2021,Miami Heat*,111.2
2021,Indiana Pacers,112.4
2021,New Orleans Pelicans,113.8
2021,Toronto Raptors,112.5
2021,Chicago Bulls,112.0
2021,San Antonio Spurs,112.8
2021,Washington Wizards*,113.0
2021,Charlotte Hornets,112.8
2021,Sacramento Kings,117.2
2021,Detroit Pistons,112.5
2021,Minnesota Timberwolves,115.0
2021,Houston Rockets,114.9
2021,Cleveland Cavaliers,114.4
2021,Orlando Magic,114.5
2021,Oklahoma City Thunder,114.0
2021,League Average,112.3
2022,Boston Celtics*,106.9
2022,Phoenix Suns*,107.3
2022,Utah Jazz*,110.5
2022,Memphis Grizzlies*,109.0
2022,Golden State Warriors*,106.9
2022,Miami Heat*,109.1
2022,Dallas Mavericks*,109.4
2022,Milwaukee Bucks*,111.8
2022,Philadelphia 76ers*,110.8
2022,Minnesota Timberwolves*,111.7
2022,Denver Nuggets*,112.1
2022,Toronto Raptors*,110.5
2022,Cleveland Cavaliers,109.7
2022,Atlanta Hawks*,114.9
2022,Brooklyn Nets*,112.8
2022,Charlotte Hornets,113.7
2022,San Antonio Spurs,112.3
2022,Los Angeles Clippers,110.1
2022,New York Knicks,110.5
2022,Chicago Bulls*,113.6
2022,New Orleans Pelicans*,113.0
2022,Los Angeles Lakers,113.3
2022,Washington Wizards,114.5
2022,Indiana Pacers,116.1
2022,Sacramento Kings,115.3
2022,Detroit Pistons,113.8
2022,Orlando Magic,112.5
2022,Oklahoma City Thunder,112.8
2022,Houston Rockets,116.7
2022,Portland Trail Blazers,116.9
2022,League Average,112.0
2023,Boston Celtics*,111.5
2023,Cleveland Cavaliers*,110.6
2023,Philadelphia 76ers*,113.3
2023,Memphis Grizzlies*,111.2
2023,Milwaukee Bucks*,111.9
2023,Denver Nuggets*,114.2
2023,New York Knicks*,114.8
2023,Sacramento Kings*,116.8
2023,Phoenix Suns*,113.0
2023,New Orleans Pelicans*,112.5
2023,Golden State Warriors*,114.4
2023,Toronto Raptors*,114.0
2023,Chicago Bulls*,112.2
2023,Oklahoma City Thunder*,114.2
2023,Brooklyn Nets*,114.1
2023,Los Angeles Lakers*,113.9
2023,Los Angeles Clippers*,114.5
2023,Atlanta Hawks*,116.3
2023,Dallas Mavericks,116.7
2023,Minnesota Timberwolves*,113.8
2023,Miami Heat*,113.3
2023,Utah Jazz,116.7
2023,Washington Wizards,115.6
2023,Orlando Magic,114.2
2023,Indiana Pacers,117.7
2023,Portland Trail Blazers,118.8
2023,Charlotte Hornets,115.3
2023,Houston Rockets,119.3
2023,Detroit Pistons,118.9
2023,San Antonio Spurs,120.0
2023,League Average,114.8
