Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,year
Kyrie Irving,23,7,7,273,.564,.516,3.4,7.9,5.7,18.4,2.9,2.0,9.7,30.9,116,109,19.1,2016
J.R. Smith,30,7,7,261,.537,.523,0.9,7.2,4.2,6.5,2.0,0.7,6.8,12.8,111,113,6.8,2016
Tristan Thompson,24,7,7,226,.629,.636,13.6,21.2,18.1,3.0,0.4,2.8,5.0,12.1,137,109,11.0,2016
Kevin Love,27,6,5,158,.468,.415,5.8,23.7,14.6,8.3,1.3,1.4,14.2,18.2,95,111,5.9,2016
Richard Jefferson,35,7,2,168,.558,.532,8.3,16.7,12.6,2.1,2.7,0.6,18.2,11.7,106,107,5.2,2016
Iman Shumpert,25,7,0,128,.432,.391,2.7,7.0,4.9,0.8,0.4,1.7,22.3,11.0,75,115,0.6,2016
Matthew Dellavedova,25,6,0,46,.370,.289,4.9,2.8,3.8,23.6,0.0,0.0,12.2,24.2,85,122,0.7,2016
Mo Williams,33,6,0,29,.375,.375,0.0,11.3,6.0,5.9,5.4,0.0,29.4,26.4,46,103,0.1,2016
Dahntay Jones,35,6,0,18,.645,.500,0.0,11.8,6.4,0.0,0.0,6.1,0.0,15.5,141,111,1.0,2016
Timofey Mozgov,29,5,0,25,.451,.333,13.5,23.0,18.4,0.0,6.1,3.2,34.0,20.8,72,97,0.7,2016
